,bps,total_points,games,time,goals,xG,assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,opp_shots,opp_goals,opp_xG,opp_against_shots,opp_against_goals,opp_against_xG
13593,12,1,29,1842,2,1.2091420125216246,2,2.266822852194309,29,15,2,1.2091420125216246,4.521617898717523,2.6945367883890867,410,58,62.64052318222821,562,46,55.60994510445744
13594,3,1,12,103,0,0.7512960135936737,0,0.0525350011885166,7,1,0,0.7512960135936737,0.2932615997269749,0.0882194004952907,419,51,51.5329648591578,578,68,65.14319821633399
13597,9,3,37,2911,3,2.1825738195329905,4,3.5145126404240727,20,35,3,2.1825738195329905,10.140563977882266,5.457994266413152,483,38,53.08860981464386,441,47,58.29535513930023
13599,0,0,26,2039,0,0.960752010345459,2,0.7074382677674294,13,6,0,0.960752010345459,8.319994319230318,8.151936292648315,602,94,87.5468477671966,294,33,35.49565150868148
13600,0,0,35,2882,10,11.532242968678474,2,3.928120201453567,86,47,4,6.965230006724596,19.9106729477644,12.656914940103889,357,37,40.80111336475238,627,71,72.09495181264356
13602,0,1,38,2657,10,6.831764040514827,4,4.619440779089928,70,57,9,6.070595199242234,11.0957055054605,4.369746007025242,594,58,75.74508742708713,480,43,51.70642548147589
13603,0,0,16,408,0,1.2088623978197577,1,1.1436329931020737,10,6,0,1.2088623978197577,3.724183831363917,1.8017782215029,427,40,43.76600298844278,459,49,55.09286420047283
13604,0,0,16,408,0,1.2088623978197577,1,1.1436329931020737,10,6,0,1.2088623978197577,3.724183831363917,1.8017782215029,464,48,51.998012396506965,529,78,71.88791078515351
13605,0,0,17,997,4,3.568711277097464,2,1.9563428275287151,27,13,4,3.568711277097464,9.511094518005848,4.636049032211304,416,31,38.416544328443706,557,58,64.12520449981093
13609,0,0,12,326,0,0.3138598967343569,1,0.4458680246025324,7,5,0,0.3138598967343569,2.0659322142601013,1.6488532945513723,522,70,60.43706954689696,520,63,53.026400515809655
13614,14,2,37,3203,15,9.137760860845448,7,9.209956639446318,93,77,15,9.137760860845448,27.893760193139315,15.047104069963098,430,34,51.04135813936591,573,57,69.68157005030662
13616,25,6,30,2700,3,3.5859055295586586,0,0.6192105077207088,15,8,3,3.5859055295586586,5.026158023625612,4.340199567377567,414,36,39.73569872695953,530,73,69.8616302870214
13619,0,0,11,174,3,1.8955533094704151,2,1.2082199901342392,12,8,3,1.8955533094704151,3.4097877740859985,0.669681042432785,430,34,51.04135813936591,573,57,69.68157005030662
13622,0,0,14,1257,0,0.1448470018804073,0,0.3056566026061773,5,7,0,0.1448470018804073,3.2727428637444973,2.889558166265488,432,51,53.06513203680515,433,46,59.01182442111895
13623,0,0,2,15,0,0.0505074001848697,0,0.0708136036992073,1,1,0,0.0505074001848697,0.0505074001848697,0.0,596,88,81.363066569902,342,43,46.43951691221446
13624,-1,0,7,527,1,0.3382616676390171,0,0.1161900013685226,5,1,1,0.3382616676390171,1.3646280579268932,1.3646280579268932,432,51,53.06513203680515,433,46,59.01182442111895
13626,7,2,37,3261,0,0.0,0,0.0174218993633985,0,1,0,0.0,6.256090926006436,6.238660858944058,475,42,52.75659039057791,501,55,56.92689578980208
13627,0,0,23,1510,1,0.2079088976606726,0,0.542324174195528,7,10,1,0.2079088976606726,5.209485713392496,4.576617915183306,602,94,87.5468477671966,294,33,35.49565150868148
13628,3,1,17,810,2,2.117515377700329,0,1.040791004896164,18,6,2,2.117515377700329,4.331894390285015,2.0439960788935423,602,94,87.5468477671966,294,33,35.49565150868148
13629,14,0,29,2044,1,0.3949361126869917,0,0.7811885923147202,15,14,1,0.3949361126869917,6.350133599713445,5.585736140608788,419,51,51.5329648591578,578,68,65.14319821633399
13631,13,3,36,2822,7,4.894198485650122,1,3.457261343486607,38,27,7,4.894198485650122,9.995119906961918,3.561682090163231,617,72,84.13641863968223,394,53,56.97241372987628
13633,0,0,4,52,0,0.0267488993704319,0,0.0846412032842636,1,2,0,0.0267488993704319,0.2599279023706913,0.2194729037582874,575,68,83.38727551419288,390,33,44.09502522367984
13634,0,0,12,266,1,0.8572464846074581,0,0.0866743996739387,6,1,1,0.8572464846074581,0.8978355824947357,0.0,475,42,52.75659039057791,501,55,56.92689578980208
13635,13,2,36,3223,1,5.092751467600465,3,2.4296507444232702,56,19,1,5.092751467600465,10.184462796896696,8.898998957127333,357,37,40.80111336475238,627,71,72.09495181264356
13637,0,0,13,1057,0,0.0843219012022018,0,0.0927421972155571,1,1,0,0.0843219012022018,3.3804026413708925,3.2876606453210115,522,70,60.43706954689696,520,63,53.026400515809655
13638,21,6,18,1559,0,0.6178922252729535,2,2.1305470690131187,20,20,0,0.6178922252729535,8.81558745726943,7.622973386198282,475,42,52.75659039057791,501,55,56.92689578980208
13639,5,2,38,2952,8,8.266518421471119,3,3.7432961594313374,55,28,7,5.983012191951275,12.170722473412752,2.8007613457739358,431,55,51.374790051952,506,53,76.09509134711698
13645,0,0,18,489,0,0.2416350301355123,0,0.1513487976044416,7,2,0,0.2416350301355123,0.9400026239454746,0.7964588776230812,617,72,84.13641863968223,394,53,56.97241372987628
13646,0,0,17,1372,1,0.8552336050197482,0,0.0366367762908339,8,2,1,0.8552336050197482,4.46303728967905,4.026877721771598,475,42,52.75659039057791,501,55,56.92689578980208
13647,0,0,16,940,3,2.5387633964419365,0,1.1296455087140205,30,13,3,2.5387633964419365,3.51997191645205,0.5702235978096724,483,38,53.08860981464386,441,47,58.29535513930023
13649,2,1,28,2019,5,7.306276918388903,3,2.7257514875382185,47,24,5,7.306276918388903,11.955216951668262,4.128748474642634,416,31,38.416544328443706,557,58,64.12520449981093
13650,4,1,18,373,1,0.6907202005386353,2,0.9013200886547564,12,12,1,0.6907202005386353,1.065209049731493,0.6448863409459591,594,58,75.74508742708713,480,43,51.70642548147589
13651,0,0,4,10,0,0.0855346992611885,0,0.0,1,0,0,0.0855346992611885,0.0,0.0,370,38,42.29227340361104,557,68,69.67875737557188
13652,0,0,2,67,0,0.0313891991972923,0,0.0,1,0,0,0.0313891991972923,0.3856349885463714,0.3856349885463714,430,34,51.04135813936591,573,57,69.68157005030662
13655,0,0,15,1350,0,0.0,1,0.1888159960508346,0,1,0,0.0,2.5362304002046585,2.347414404153824,427,40,43.76600298844278,459,49,55.09286420047283
13657,0,0,25,2081,1,0.5782807385548949,0,0.2267771176993847,17,6,1,0.5782807385548949,3.626173667609692,3.482117474079132,370,38,42.29227340361104,557,68,69.67875737557188
13658,0,0,12,275,0,0.2444907762110233,0,0.136385791003704,6,3,0,0.2444907762110233,1.3482624273747206,1.1162777580320835,432,51,53.06513203680515,433,46,59.01182442111895
13659,6,1,12,275,0,0.2444907762110233,0,0.136385791003704,6,3,0,0.2444907762110233,1.3482624273747206,1.1162777580320835,596,88,81.363066569902,342,43,46.43951691221446
